State,District,Telugu,Hindi
Andaman and Nicobar Islands,Nicobars,నికోబార్లు,निकोबार
Andaman and Nicobar Islands,North and Middle Andaman,ఉత్తర మరియు మధ్య అండమాన్,उत्तर और मध्य अंडमान
Andaman and Nicobar Islands,South Andaman,దక్షిణ అండమాన్,दक्षिणी अंडमान
Andhra Pradesh,Anantapur,అనంతపురం,अनंतपुर
Andhra Pradesh,Chittoor,చిత్తూరు,चित्तूर
Andhra Pradesh,East Godavari,తూర్పు గోదావరి,पूर्वी गोदावरी
Andhra Pradesh,Guntur,గుంటూరు,गुंटूर
Andhra Pradesh,Krishna,కృష్ణ,कृष्णा
Andhra Pradesh,Kurnool,కర్నూలు,कुरनूल
Andhra Pradesh,Prakasam,ప్రకాశం,प्रकाशम
Andhra Pradesh,S.P.S. Nellore,నెల్లూరు,नेल्लोर
Andhra Pradesh,Srikakulam,శ్రీకాకుళం,श्रीकाकुलम
Andhra Pradesh,Visakhapatnam,విశాఖపట్నం,विशाखापट्टनम 
Andhra Pradesh,Vizianagaram,విజయనగరం,विजयनगरम
Andhra Pradesh,West Godavari,పశ్చిమ గోదావరి,पश्चिमी गोदावरी
Andhra Pradesh,Y.S.R. Kadapa,వై.ఎస్.ఆర్. కడప,कडपा
Arunachal Pradesh,Anjaw,ఆంజ,अंजा
Arunachal Pradesh,Changlang,చాంగ్లాంగ్,चांगलांग
Arunachal Pradesh,East Kameng,తూర్పు కామెంగ్,पूर्वी कामेंग
Arunachal Pradesh,East Siang,తూర్పు సియాంగ్,पूर्व सियांग
Arunachal Pradesh,Kamle,కమలే,कमले 
Arunachal Pradesh,Kra Daadi,క్రా డాడి,क्रा दादी 
Arunachal Pradesh,Kurung Kumey,కురుంగ్ కుమే,कुरूंग कुमेय 
Arunachal Pradesh,Lepa Rada,లేపా రాడా,लेपा राडा 
Arunachal Pradesh,Lohit,లోహిత్,लोहित
Arunachal Pradesh,Longding,లొంగిడింగ్,लोंगडिंग 
Arunachal Pradesh,Lower Dibang Valley,దిగువ దిబాంగ్ వ్యాలీ,लोअर दिबांग घाटी
Arunachal Pradesh,Lower Siang,దిగువ సియాంగ్,लोअर सियांग
Arunachal Pradesh,Lower Subansiri,దిగువ సుబన్సిరి,लोअर सुबानसिरी
Arunachal Pradesh,Namsai,నామసాయి,नामसाई 
Arunachal Pradesh,Pakke Kessang,పక్కే కెస్సాంగ్,पक्के केसांग 
Arunachal Pradesh,Papum Pare,పాపుమ్ పరే,पापुम पारे
Arunachal Pradesh,Shi Yomi,షి యోమి,शि योमी
Arunachal Pradesh,Siang,సియాంగ్,सियांग
Arunachal Pradesh,Tawang,తవాంగ్,तवांग
Arunachal Pradesh,Tirap,తిరాప్,तिराप 
Arunachal Pradesh,Upper Dibang Valley,ఎగువ దిబాంగ్ వ్యాలీ,ऊपरी दिबांग घाटी
Arunachal Pradesh,Upper Siang,ఎగువ సియాంగ్,ऊपरी सियांग
Arunachal Pradesh,Upper Subansiri,ఎగువ సుబన్సిరి,ऊपरी सुबानसिरी
Arunachal Pradesh,West Kameng,వెస్ట్ కామెంగ్,पश्चिम कामेंग
Arunachal Pradesh,West Siang,వెస్ట్ సియాంగ్,पश्चिम सियांग
Assam,Baksa,బక్సా,बक्सा
Assam,Barpeta,బార్పేట,बारपेटा
Assam,Biswanath,బిశ్వనాథ్,बिश्वनाथ
Assam,Bongaigaon,బొంగైగోన్,बोंगईगांव
Assam,Cachar,కచార్,कछार
Assam,Charaideo,చరాయిదేవ్,चराइदेओ 
Assam,Chirang,చిరాంగ్,चिरांग
Assam,Darrang,దర్రాన్గ్,दरांग
Assam,Dhemaji,దేమాజీ,धेमाजी
Assam,Dhubri,ధుబ్రి,धुबरी
Assam,Dibrugarh,దిబ్రుగార్,डिब्रूगढ़
Assam,Dima Hasao,డిమా హసావో,दीमा हसाओ
Assam,Goalpara,గోల్పర,गोलपाड़ा
Assam,Golaghat,గోలాఘాట్,गोलाघाट
Assam,Hailakandi,హైలాకండి,हैलाकांडी
Assam,Hojai,హోజై,होजाइ 
Assam,Jorhat,జోర్హాట్,जोरहाट
Assam,Kamrup,కామరూప్,कामरूप
Assam,Kamrup Metropolitan,కామరూప్ మెట్రోపాలిటన్,कामरूप मेट्रोपोलिटन
Assam,Karbi Anglong,కర్బీ ఆంగ్లాంగ్,कार्बी आंगलोंग
Assam,Karimganj,కరీంగంజ్,करीमगंज
Assam,Kokrajhar,కోక్రాఝర్,कोकराझार
Assam,Lakhimpur,లఖింపూర్,लखीमपुर
Assam,Majuli,మజూలి,माजुली
Assam,Morigaon,మొరిగాన్,मोरीगांव
Assam,Nagaon,నాగావ్,नगांव
Assam,Nalbari,నల్బరి,नलबाड़ी
Assam,Sivasagar,శివసాగర్,शिवसागर
Assam,Sonitpur,సోనిత్పూర్,सोनितपुर
Assam,South Salmara Mancachar,దక్షిణ సల్మారా మంచాచార్,दक्षिण सलमारा मनचचार 
Assam,Tinsukia,టిన్సుకియా,तिनसुकिया
Assam,Udalguri,ఉదాల్గురి,उदालगुरी 
Assam,West Karbi Anglong,పశ్చిమ కర్బి ఆంగ్లాంగ్,पश्चिम कार्बी आंगलोंग
Bihar,Araria,అరారియా,अररिया
Bihar,Arwal,ఆర్వాల్,अरवल
Bihar,Aurangabad,ఔరంగాబాద్,औरंगाबाद
Bihar,Banka,బంకా,बांका
Bihar,Begusarai,బెగుసారై,बेगूसराय
Bihar,Bhagalpur,భగల్పూర్,भागलपुर
Bihar,Bhojpur,భోజ్పూర్,भोजपुर
Bihar,Buxar,బక్సర్,बक्सर
Bihar,Darbhanga,దర్భాంగా,दरभंगा
Bihar,Gaya,గయ,गया
Bihar,Gopalganj,గోపాలగంజ్,गोपालगंज
Bihar,Jamui,జముయ్,जमुई
Bihar,Jehanabad,జెహానాబాద్,जहानाबाद
Bihar,Kaimur Bhabua,కైమూర్ భాబువా,कैमूर भभुआ
Bihar,Katihar,కతిహార్,कटिहार
Bihar,Khagaria,ఖగరియా,खगरिया
Bihar,Kishanganj,కిషన్గంజ్,किशनगंज
Bihar,Lakhisarai,లఖిసరాయ్,लखीसराय
Bihar,Madhepura,మాధేపురా,मधेपुरा
Bihar,Madhubani,మధుబని,मधुबनी
